story_number,general_question,analysts,intersection,union,total_union,total_intersection
1,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4', 'V5.3.5']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4, V5.3.5",5,1
1,Does the user story implementation involve input from the client or the environment?,victor: ['V5.1.3'],,V5.1.3,1,0
2,"Does the user story implementation involve any sensitive transactions, data, or API?",daniel: ['V3.7.1']; marcelo: ['V8.3.4'],,"V3.7.1, V8.3.4",2,0
2,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.1', 'V5.1.3', 'V5.1.5', 'V5.2.2']; victor: ['V5.1.3']",V5.1.3,"V5.1.1, V5.1.3, V5.1.5, V5.2.2",4,1
2,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.2']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']",,"V5.3.1, V5.3.2, V5.3.3",3,0
2,Does the user story implementation involve some data serialization or deserialization?,daniel: ['V5.5.1'],,V5.5.1,1,0
3,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4', 'V5.3.5']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']","V5.3.1, V5.3.2, V5.3.3","V5.3.1, V5.3.2, V5.3.3, V5.3.4, V5.3.5",5,3
3,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.1', 'V5.1.3', 'V5.2.1', 'V5.2.2', 'V5.2.3']; marcelo: ['V5.1.3', 'V5.1.4', 'V5.2.3']; tulio: ['V5.1.3']; victor: ['V5.1.3', 'V5.2.3']",V5.1.3,"V5.1.1, V5.1.3, V5.1.4, V5.2.1, V5.2.2, V5.2.3",6,1
3,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
3,"Does the user story implementation involve any sensitive transactions, data, or API?",daniel: ['V3.7.1']; tulio: ['V3.7.1'],V3.7.1,V3.7.1,1,1
3,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.2.2', 'V3.2.3', 'V3.3.1', 'V3.3.2', 'V3.4.5']",,"V3.1.1, V3.2.2, V3.2.3, V3.3.1, V3.3.2, V3.4.5",6,0
3,Does the user story implementation involve some administrative interface?,daniel: ['V4.3.1']; tulio: ['V4.3.1'],V4.3.1,V4.3.1,1,1
3,Does the user story implementation involve some data serialization or deserialization?,daniel: ['V5.5.1'],,V5.5.1,1,0
4,Does the user story implementation involve some output?,"daniel: ['V5.3.4', 'V5.3.5']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']",,"V5.3.1, V5.3.2, V5.3.3, V5.3.4, V5.3.5",5,0
4,"Does the user story implementation involve any sensitive transactions, data, or API?",tulio: ['V3.7.1'],,V3.7.1,1,0
4,Does the user story implementation involve some data serialization or deserialization?,daniel: ['V5.5.1'],,V5.5.1,1,0
4,Does the user story implementation involve some administrative interface?,tulio: ['V4.3.1'],,V4.3.1,1,0
